,???,????? ,?????,?????,?? ,??????,????? 
01-18R2CP69,1404,01-18,1,1,R2,CP69,22.49
01-20R4CP69,1404,01-20,1,1,R4,CP69,23.32
01-22R5CP69,1404,01-22,1,1,R5,CP69,22.73
01-24PCP69,1404,01-24,1,1,P,CP69,23.83
01-26PCP69,1404,01-26,1,1,P,CP69,24.28
01-28PCP69,1404,01-28,1,1,P,CP69,22.6
01-30PCP69,1404,01-30,1,1,P,CP69,23.58
01-32PCP69,1404,01-32,1,1,P,CP69,22.72
02-01R2CP69,1404,02-01,2,2,R2,CP69,24.79
02-03R2CP69,1404,02-03,2,2,R2,CP69,24.69
02-05R2CP69,1404,02-05,2,2,R2,CP69,24.45
02-07R2CP69,1404,02-07,2,2,R2,CP69,21.67
02-09R2CP69,1404,02-09,2,2,R2,CP69,27.62
02-11R3CP69,1404,02-11,2,2,R3,CP69,25.36
02-13R3CP69,1404,02-13,2,2,R3,CP69,24.33
02-15R3CP69,1404,02-15,2,2,R3,CP69,21.73
02-17R3CP69,1404,02-17,2,2,R3,CP69,22.47
02-19PCP69,1404,02-19,2,2,P,CP69,24.53
02-21PCP69,1404,02-21,2,2,P,CP69,24.66
02-23PCP69,1404,02-23,2,2,P,CP69,24.59
02-25PCP69,1404,02-25,2,2,P,CP69,24.84
02-27PCP69,1404,02-27,2,2,P,CP69,24.65
02-29PCP69,1404,02-29,2,2,P,CP69,24.78
02-31PCP69,1404,02-31,2,2,P,CP69,24.73
03-08PCP69,1404,03-08,3,1,P,CP69,23.17
03-10R2CP69,1404,03-10,3,1,R2,CP69,23.5
03-12R4CP69,1404,03-12,3,1,R4,CP69,23.38
03-14R4CP69,1404,03-14,3,1,R4,CP69,23.08
03-16R2CP69,1404,03-16,3,1,R2,CP69,23.21
03-18R4CP69,1404,03-18,3,1,R4,CP69,22.47
03-20R4CP69,1404,03-20,3,1,R4,CP69,23.61
03-22R3CP69,1404,03-22,3,1,R3,CP69,23.11
03-24PCP69,1404,03-24,3,1,P,CP69,23.5
03-26R4CP69,1404,03-26,3,1,R4,CP69,23
03-28R3CP69,1404,03-28,3,1,R3,CP69,23.84
03-30PIR01-412,1404,03-30,3,1,P,IR01-412,23.35
03-32PIRC00-14,1404,03-32,3,1,P,IRC00-14,22.97
04-01R1CP69,1404,04-01,4,2,R1,CP69,23.88
04-03R2CP48,1404,04-03,4,2,R2,CP48,23.36
04-05R2CP57,1404,04-05,4,2,R2,CP57,23.59
04-07R1CP73,1404,04-07,4,2,R1,CP73,23.55
04-09PCP73,1404,04-09,4,2,P,CP73,23.33
04-11PCP73,1404,04-11,4,2,P,CP73,23.49
04-13PCP73,1404,04-13,4,2,P,CP73,23.33
04-15PCP69,1404,04-15,4,2,P,CP69,23.2
05-01R3CP69,1404,05-01,5,1,R3,CP69,24.58
05-02R3CP69,1404,05-02,5,1,R3,CP69,22.67
05-03R2CP69,1404,05-03,5,1,R2,CP69,24.11
05-05R2CP69,1404,05-05,5,1,R2,CP69,22.67
05-06R1CP48,1404,05-06,5,1,R1,CP48,23.49
05-07R1CP69,1404,05-07,5,1,R1,CP69,23.37
05-08R1CP48,1404,05-08,5,1,R1,CP48,22.75
05-09R1CP73,1404,05-09,5,1,R1,CP73,23.68
05-10R2CP73,1404,05-10,5,1,R2,CP73,23.96
05-11R1CP73,1404,05-11,5,1,R1,CP73,23.77
05-12R2CP73,1404,05-12,5,1,R2,CP73,23.35
05-13R2CP73,1404,05-13,5,1,R2,CP73,23.34
05-14R1CP73,1404,05-14,5,1,R1,CP73,17.36
05-14R1IR01-412,1404,05-14,5,1,R1,IR01-412,5.54
05-15R4CP73,1404,05-15,5,1,R4,CP73,22.72
05-16PCP65,1404,05-16,5,1,P,CP65,23.04
05-18R2CP69,1404,05-18,5,1,R2,CP69,22.62
05-19PCP57,1404,05-19,5,1,P,CP57,23.14
05-20R1CP57,1404,05-20,5,1,R1,CP57,23.16
05-21R1CP73,1404,05-21,5,1,R1,CP73,23.43
05-22PCP73,1404,05-22,5,1,P,CP73,23.29
05-23R2CP73,1404,05-23,5,1,R2,CP73,23.15
05-24R1CP73,1404,05-24,5,1,R1,CP73,23.58
05-25R2CP69,1404,05-25,5,1,R2,CP69,23.57
05-27R1CP69,1404,05-27,5,1,R1,CP69,23.04
05-30PCP69,1404,05-30,5,1,P,CP69,23.78
05-31PCP69,1404,05-31,5,1,P,CP69,23.1
06-01R2CP69,1404,06-01,6,2,R2,CP69,23.68
06-02R2CP69,1404,06-02,6,2,R2,CP69,23.94
06-03R1CP48,1404,06-03,6,2,R1,CP48,23.31
06-04R1CP48,1404,06-04,6,2,R1,CP48,23.39
06-05R1CP57,1404,06-05,6,2,R1,CP57,23.51
06-06R2CP73,1404,06-06,6,2,R2,CP73,23.55
06-07R1CP73,1404,06-07,6,2,R1,CP73,23.57
06-08R2CP73,1404,06-08,6,2,R2,CP73,23.44
06-09R1CP73,1404,06-09,6,2,R1,CP73,23.62
06-10PCP73,1404,06-10,6,2,P,CP73,23.2
06-11R1CP73,1404,06-11,6,2,R1,CP73,23.39
06-12R2CP73,1404,06-12,6,2,R2,CP73,23.15
06-13R1CP73,1404,06-13,6,2,R1,CP73,23.51
06-14PCP73,1404,06-14,6,2,P,CP73,23.92
06-16R3CP69,1404,06-16,6,2,R3,CP69,22.81
06-17R1CP69,1404,06-17,6,2,R1,CP69,22.23
06-18R1CP69,1404,06-18,6,2,R1,CP69,22.81
06-20R3CP69,1404,06-20,6,2,R3,CP69,16.91
07-02R1CP69,1404,07-02,7,1,R1,CP69,24.29
07-04R4CP69,1404,07-04,7,1,R4,CP69,23.54
07-06R2CP48,1404,07-06,7,1,R2,CP48,23.32
07-08R2CP48,1404,07-08,7,1,R2,CP48,23.25
07-10PCP73,1404,07-10,7,1,P,CP73,23.22
07-12R1CP73,1404,07-12,7,1,R1,CP73,23
07-14R2CP73,1404,07-14,7,1,R2,CP73,23.44
07-16PCP69,1404,07-16,7,1,P,CP69,22.79
07-18PCP69,1404,07-18,7,1,P,CP69,21.98
07-22PCP73,1404,07-22,7,1,P,CP73,23.52
07-24R4CP69,1404,07-24,7,1,R4,CP69,11
08-01R2CP48,1404,08-01,8,2,R2,CP48,23.71
08-03R1CP48,1404,08-03,8,2,R1,CP48,23.71
08-05R1CP57,1404,08-05,8,2,R1,CP57,23.47
08-07R1CP73,1404,08-07,8,2,R1,CP73,23.4
08-09R1CP73,1404,08-09,8,2,R1,CP73,23.32
08-11R2CP73,1404,08-11,8,2,R2,CP73,23.63
08-13R2CP73,1404,08-13,8,2,R2,CP73,23.74
08-15PCP69,1404,08-15,8,2,P,CP69,23.35
08-17R4CP69,1404,08-17,8,2,R4,CP69,22.75
